Review,Score,Sentiment
Very good product 💯,0.4927250317396701,Positive
"Worth of money, in this price segment good phone, value for money.",0.735147044114705,Positive
Average photo battery is good.,0.44043357076016854,Positive
all is well ☺️❤️Photo quality is very good 👍😊,0.9271842595377363,Positive
Nice product sandhya mobile mohanpur thankyou Looks beautiful ❤️,0.7717372111011058,Positive
"Best phone for this price. Camera quality is not excellent,Just okey. Display is amazing.😍.",0.9000703207408192,Positive
Battery drain fast other features very good.,0.5401770601595847,Positive
"I see ratings are bad for camera. But it is not that bad. It does some nice processing and gives sharp images.I give 4.3/5 . Everything is good, my only concern is battery, it gives only 5hr 30 min of screen on time for normal usage, I keep my battery between 20 and 80. What is the use of everything if we cant rely on its battery.",0.899080742413848,Positive
OS is very smooth and call quality is good. My only grouse is with the battery which is discharging very quickly. Does not even last 24 hrs with moderate use on 4G and will not last beyond 12-14 hrs with a normal 5g user. Hopefully some optimisation is done in the next software update. For those looking to buy a phone for parents can go ahead with 8gb/256gb.,0.8310114274420446,Positive
Battery very poor....And return policy of flipkart is very shameful very very pathetic and headache policy flipkart made...this is my last phone which i buy online. very poor return service.Big problem of this phone is battery issue.,-0.9227259952796777,Negative
Wow,0.5858817654461621,Positive
"Awesome design, great performance, nice display. But the battery does seem to drain a little quicker than expected. Still, a single charge till 80% is enough to last an entire day with normal usage",0.7184212081070996,Positive
Realme p1 5g is the one of the best smart phone under 15k.. camera it's ok Battery 🔋 maximum 1days Display is amoled so nice 👍 Design very nice Performance.. mediatek 7050 is very powerful.. free fire 60fps....and...Bgmi.. smooth extreme..💪💪.. I Love 💗 this phone..,0.9802193191350758,Positive
Value for money,0.33995005182504245,Positive
Good design but I am facing overheating issue.,0.23822695692514875,Positive
Amezing Product 🤞👍,0,Neutral
First of all phone is very light in weight so easy to use.Look of phone is also good Camera quality good Phone display and processing good Overall best phone in this segment 🥳,0.9648872507988586,Positive
Nice 👍 thanks Flipkart very good product,0.8356768101707184,Positive
Good phone👍,0.44043357076016854,Positive
great at everything :-Gaming performance is good and looks are also attractive,0.8804798117859801,Positive
Nice phone ossum proformance,0.4214636152117623,Positive
Very nice budget phone and performance like this is good for gaming and day to day usess battery was very well performed.,0.8800937729511705,Positive
Overall phone is great. But lacks on camera. Performance should be biggest highlight of this phone. At this price it is a beast.,0.6858467290309709,Positive
Camera=3.5Battery=4.5Display=4.7Performance=4.5Overall good..... but camera is average.,0.23822695692514875,Positive
Phoenix Design is giving super classy look along with the color.,0.8481222655051033,Positive
Good phone 🥰🥰🥰📱📱,0.8979012115552804,Positive
"The front camera of the phone is very nice and the back camera could be a little better, it was just a little slow but the performance is quite good.",0.8214611659254264,Positive
Phone was good 😷Performance Is Enough On this budget If u finding best phone under 15k then go for it 🫶🏼😻,0.8778822623068634,Positive
Battery capacity is average,0,Neutral
Nice and value for moneyBest performance phone,0.6369499429264264,Positive
Battery fast drained Camera third class quality Finger not working properly Network issueGood display Large storage Battery fast drained Camera third class quality Finger not working properly Network issueGood display Large storage,-0.6123724356957946,Negative
SERIOUSLY IT'S TOO GOOD.GAME IS SMOOTH IN BGMI BASIS NO.NO.NO..IT'S OVER SMOOTH.YOU FEEL ALWAYS COOL YOUR PHONE..CAMERA QUALITY..OHO.OHO.OHO..NICE,0.15309310892394867,Positive
Best phone as money for...,0.6369499429264264,Positive
Nice phone I am very happy 😊,0.9281434764333669,Positive
Good product but drain battery quick,0.23822695692514875,Positive
It is good phone. It has a best performance in the segment. Camera gives descent performance. Overal best phone in this price range.,0.9061977826423674,Positive
Phone is ok but camera is worst part of the phone.,-0.7227247225603621,Negative
Camera awesomeGaming experience on topPerformance superBATTERY 🔋 long-lastingOverall lovely mobile in this price....... 😌😌,0.8555415792658776,Positive
Superb,0.6248933269389457,Positive
Value for money. Must buy,0.33995005182504245,Positive
Good mobile in this budget. Display is awesome. Camera is descent and performance is good. Only finger print sensor not upto mark.,0.8720215925549822,Positive
"Quick charging, battery fast charging in 1Hr, and 1 day battery performance",0,Neutral
Best phone between 15 to 16 k price segment Display 5/5Performance 5/5Battery 5/5Camera 4/5You should buy this amazing value for money phoneThankyou Flipkart,0.9090621058064121,Positive
Very nice,0.47542834443202786,Positive
It's I super mobile it's very good performance camera 5⭐s,0.811887058190041,Positive
"Nice product but battery dran so fast ,5000mah battery performance too week",0.22634795467253557,Positive
Nice product worth for money and the delivery person mr.prakash very nice person.Thank you,0.8115269480198393,Positive
Nice,0.4214636152117623,Positive
Very powerful mobile,0.47542834443202786,Positive
Nice phone.....Decent camera.....,0.4214636152117623,Positive
Good performance and fine camera quality best battery,0.8359758677591163,Positive
With The Given Vapor Chamber Cooling System The Thing Of Phone Getting Heated Comes To TBH.,0,Neutral
I like this mobile very much very good mobile phone this price range in fingerprint display no one can bit p15g iam very impress 😍😍😍🤗🤗🤗🤗😎😎😎😍😍,0.9913806671318705,Positive
"Absolutely loving the sleek design of the realme P1 5G, especially in Phoenix Red.",0.6361207922425127,Positive
Camera is very bad quality,-0.5423261445466404,Negative
Battery performance very Bad.... Front Camera picture quality was not Good..... otherwise all good bt Big issue is Battery....,-0.4599171443933057,Negative
Good,0.44043357076016854,Positive
Camera quality very bad other wise it's ok Design not good Display good Battery average Performance above average,-0.35174449652566814,Negative
"Disappointed with the battery back up , only one for normal usage ,for heavy usage backup is no even 1 day remaining all are good at this price level",-0.33995005182504245,Negative
Battery drains too fast,0,Neutral
Good product but battery drain is very fast,0.23822695692514875,Positive
Brilliant..,0.5858817654461621,Positive
Nice 👍 thanks Flipkart very good product,0.8356768101707184,Positive
"Mobile camera, battery and performance is good. I reviewing after 3 months usage. But speakers not that much good. Except everything good.",0.4001374411883084,Positive
Battery is not good,-0.3412376512543242,Negative
This phone performance is averagesNice phone on this budget 👍👍,0,Neutral
Product is excellent.Battery drainage is a little fast.Overall performance is splendid.,0.5858817654461621,Positive
I loved itVery good qualityI really liked itCamera quality good,0.9151590670451148,Positive
Best in gaming,0.6369499429264264,Positive
"Very very bad performance, I buy on 22june and after 5-6day battery problem isConnect and disconnect battery problem happened ...charger problems",-0.9036375354946187,Negative
Good worth of money go for it,0.5858817654461621,Positive
all good,0.44043357076016854,Positive
"Good working in all ways with performance, design good and slim , battery was also good enough. Camera is good but not too much like vi vo and oppo in this range.",0.5075612312436861,Positive
Performance ☠️☠️☠️☠️☠️Fast charging ☠️Camera☠️,0,Neutral
Nice phone but camera no good,0.4497040643718542,Positive
Nice,0.4214636152117623,Positive
Overall good phone,0.44043357076016854,Positive
Good quality and good production,0.7003492917357613,Positive
Very nice 👍,0.47542834443202786,Positive
The phone is very good as per the price,0.5401770601595847,Positive
Worst product from realme,-0.6248933269389457,Negative
Good product,0.44043357076016854,Positive
Nice camera,0.4214636152117623,Positive
Good phone 🥰🥰🥰📱📱,0.8979012115552804,Positive
"I bought it for my dad, and it works perfectly fine. It feels light in hand and the camera is good for the price.",0.9021745222664632,Positive
Good phone,0.44043357076016854,Positive
Nice,0.4214636152117623,Positive
"Absolute value for money phone,Just need some features in camera , most important wide angle photo not available , over all good phone",0.7708050510751501,Positive
Superb phone 🤳 premium build qualityI am happy,0.8316320352807864,Positive
Very good phone 📱 in camera real face,0.4927250317396701,Positive
Amoled display is very good of this phone 📱,0.5401770601595847,Positive
Thank you so much Flipkart buy,0.3611575592573076,Positive
Camera quality very bad other wise it's ok Design not good Display good Battery average Performance above average,-0.35174449652566814,Negative
Very nice phone for gaming but camer is not good,-0.2645613999022474,Negative
Top phone,0.20228869496966945,Positive
battery is disappointed drain very fast...if you are a heavy user like me then don't go for it...otherwise ok ok phone 🤳🤳🤳📱,0.42146361521176223,Positive
Nice realme p1 mobile,0.4214636152117623,Positive
Very heat problem,-0.45489686322899237,Negative
Battery backup problem half day usingCamera clarity local Display is smooth Processor ok,0.3596906549511877,Positive
Phone sometimes gets off,0,Neutral
Superb mobile,0.6248933269389457,Positive
After 7 days I am writing the review of the product Realme P1 5g Smartphone which I have purchased on 15/6/24 and received on 17/6/24.It is very updated phone than my previous phone Realme 8 5g. I faced some issues primarily due not having proper knowledge about P1 and I will give no excuse for this. Finally I got it and the product Realme P1 5g Smartphone is working very fine. For this I need not to visit local Realme Store and I am very sorry for doing rude behaviour to you until I get it. ...,-0.4241537920999517,Negative
Overall good. Money worth,0.5858817654461621,Positive
"It's been a month since I purchased this phone for a family member. Absolutely value for money. In this price range , this is the best phone. You cannot expect heavy performance like a flagship phone. Value for money. Very light weight.",0.9149218384063067,Positive
Don't buy this product very poor performance and battery 🔋 very very poor normal use 🕑 two-time charging 2/10second one network 🛜 5G coverage is not good 2/10Display is good 6/10,-0.7170570042594647,Negative
Battery drain issueBut trust me very bad battery backup. Drains soo fast. Need better efficient battery use,0.6704783996548059,Positive
Good camera,0.44043357076016854,Positive
Quite good..no gorilla glass..... Brand lasts,0,Neutral
Very bad battery backup,-0.584918592770089,Negative
Battery drain very fast. Just 7 hrs backup. Very disappointed. Display good is good.,0.5034481324394822,Positive
Mobile is good for everything 💯 efficient price,0.7178120426043824,Positive
Value for money.,0.33995005182504245,Positive
This is great 😃,0.7649686210234002,Positive
Mobile over heating,0,Neutral
Awe,0,Neutral
Good and best gaming phone,0.7963890709347511,Positive
Battery low battery,-0.27321288529447424,Negative
Nice mobile,0.4214636152117623,Positive
Wonderfull performance,0,Neutral
This is a mid range phone price should be between 12k to 14k. Priced too high for avg processor and specs.,0,Neutral
The camera is good but some development,0.23822695692514875,Positive
Good Phone,0.44043357076016854,Positive
"I m going to tell u that it have gud review.... But I am telling u about its cons1. Camera is average not gud bcz its over boost colours2. Fingerprint is not recognised well it has 6,7 recognition ratio out of 10. Pros1. Gaming decent2. Performence gud3. Dual stereo Speaker sounds loud and clear",0.7325977480115162,Positive
Really happy my new phone .,0.6114782196439732,Positive
😡 camera quality is not good Realme P1 5g 😡 network problem 🤳 anyone don't bay this phone 📱,-0.6256296743415094,Negative
Nice,0.4214636152117623,Positive
Best price range 5g phone,0.6369499429264264,Positive
Good product I'm so happy 🥰😁,0.9382706918452414,Positive
It's is a good phone,0.44043357076016854,Positive
Don't buy battery draines very quickly..,0,Neutral
Mobile get heated while charging camera is average performance is good fast charging is good.,0.7003492917357613,Positive
Valueable,0,Neutral
